tipo_padrao,data_inicio,data_fim,data_ombro1,data_ombro2,preco_cabeca,data_cabeca,idx_inicio,idx_fim
OCO,2025-04-22 04:00:00,2025-04-30 20:00:00,2025-04-23 08:00:00,2025-04-29 04:00:00,4.32,2025-04-25 08:00:00,3968,4020
OCOI,2025-04-04 16:00:00,2025-04-14 12:00:00,2025-04-07 08:00:00,2025-04-10 16:00:00,3.36,2025-04-09 00:00:00,3863,3922
OCOI,2025-02-12 20:00:00,2025-02-22 04:00:00,2025-02-13 20:00:00,2025-02-21 20:00:00,4.67,2025-02-18 16:00:00,3558,3614
OCOI,2025-01-31 12:00:00,2025-02-05 12:00:00,2025-01-31 20:00:00,2025-02-04 08:00:00,4.52,2025-02-03 04:00:00,3484,3514
OCOI,2025-01-06 16:00:00,2025-01-12 00:00:00,2025-01-09 08:00:00,2025-01-11 16:00:00,6.56,2025-01-09 20:00:00,3335,3367
OCO,2024-11-03 12:00:00,2024-11-15 00:00:00,2024-11-10 20:00:00,2024-11-13 12:00:00,5.64,2024-11-12 00:00:00,2950,3019
OCOI,2024-05-22 04:00:00,2024-05-27 16:00:00,2024-05-22 20:00:00,2024-05-27 08:00:00,7.16,2024-05-23 20:00:00,1958,1991
OCO,2024-05-03 08:00:00,2024-05-09 08:00:00,2024-05-03 16:00:00,2024-05-08 16:00:00,7.34,2024-05-06 08:00:00,1845,1881
OCOI,2024-04-24 08:00:00,2024-05-03 16:00:00,2024-04-27 12:00:00,2024-05-03 08:00:00,6.13,2024-04-30 16:00:00,1791,1847
OCOI,2024-04-15 08:00:00,2024-04-19 12:00:00,2024-04-16 16:00:00,2024-04-19 04:00:00,6.48,2024-04-17 12:00:00,1737,1762
OCO,2024-03-12 12:00:00,2024-03-15 12:00:00,2024-03-13 08:00:00,2024-03-14 20:00:00,11.48,2024-03-14 08:00:00,1534,1552
OCOI,2024-03-07 00:00:00,2024-03-13 08:00:00,2024-03-08 12:00:00,2024-03-12 12:00:00,10.24,2024-03-10 16:00:00,1501,1539
OCO,2023-12-23 04:00:00,2023-12-29 04:00:00,2023-12-24 12:00:00,2023-12-27 12:00:00,9.27,2023-12-26 00:00:00,1052,1088
